[raw] 帧1 非零值: {253: 132, 254: 3} lethal格: [[0.98, -0.02], [1.03, -0.02], [0.98, 0.03]]
[master] 帧1 非零值: {99: 132, 100: 3} lethal100格: [[0.98, -0.02], [1.03, -0.02], [0.98, 0.03]]
[raw] 帧2 非零值: {253: 132, 254: 3} lethal格: [[0.98, -0.02], [1.03, -0.02], [0.98, 0.03]]
[master] 帧2 非零值: {99: 132, 100: 3} lethal100格: [[0.98, -0.02], [1.03, -0.02], [0.98, 0.03]]
[raw] 帧3 非零值: {253: 132, 254: 3} lethal格: [[0.98, -0.02], [1.03, -0.02], [0.98, 0.03]]
[master] 帧3 非零值: {99: 132, 100: 3} lethal100格: [[0.98, -0.02], [1.03, -0.02], [0.98, 0.03]]
[raw] 帧6 非零值: {253: 132, 254: 3} lethal格: [[0.98, -0.02], [1.03, -0.02], [0.98, 0.03]]
[master] 帧6 非零值: {99: 132, 100: 3} lethal100格: [[0.98, -0.02], [1.03, -0.02], [0.98, 0.03]]
[raw] 帧11 非零值: {253: 132, 254: 3} lethal格: [[0.98, -0.02], [1.03, -0.02], [0.98, 0.03]]
[master] 帧11 非零值: {99: 132, 100: 3} lethal100格: [[0.98, -0.02], [1.03, -0.02], [0.98, 0.03]]
[raw] 帧16 非零值: {253: 132, 254: 3} lethal格: [[0.98, -0.02], [1.03, -0.02], [0.98, 0.03]]
[master] 帧16 非零值: {99: 132, 100: 3} lethal100格: [[0.98, -0.02], [1.03, -0.02], [0.98, 0.03]]
[raw] 帧21 非零值: {253: 132, 254: 3} lethal格: [[0.98, -0.02], [1.03, -0.02], [0.98, 0.03]]
[master] 帧21 非零值: {99: 132, 100: 3} lethal100格: [[0.98, -0.02], [1.03, -0.02], [0.98, 0.03]]
[raw] 帧26 非零值: {253: 132, 254: 3} lethal格: [[0.98, -0.02], [1.03, -0.02], [0.98, 0.03]]
[master] 帧26 非零值: {99: 132, 100: 3} lethal100格: [[0.98, -0.02], [1.03, -0.02], [0.98, 0.03]]
[raw] 帧31 非零值: {253: 132, 254: 3} lethal格: [[0.98, -0.02], [1.03, -0.02], [0.98, 0.03]]
[master] 帧31 非零值: {99: 132, 100: 3} lethal100格: [[0.98, -0.02], [1.03, -0.02], [0.98, 0.03]]
[raw] 帧36 非零值: {253: 132, 254: 3} lethal格: [[0.98, -0.02], [1.03, -0.02], [0.98, 0.03]]
[master] 帧36 非零值: {99: 132, 100: 3} lethal100格: [[0.98, -0.02], [1.03, -0.02], [0.98, 0.03]]
[raw] 帧41 非零值: {253: 132, 254: 3} lethal格: [[0.98, -0.02], [1.03, -0.02], [0.98, 0.03]]
[master] 帧41 非零值: {99: 132, 100: 3} lethal100格: [[0.98, -0.02], [1.03, -0.02], [0.98, 0.03]]
