收藏夹,FID,标题,BV号,播放量,弹幕,时长,链接
"2、汇丨各团队培训课","3594167410","第六讲——LTspice&EDA",BV11xZiBWEt4,1333,0,44:44,https://www.bilibili.com/video/BV11xZiBWEt4
"2、汇丨各团队培训课","3594167410","电控组  焊接教程",BV1WhvzBMETU,117,0,01:21:20,https://www.bilibili.com/video/BV1WhvzBMETU
"2、汇丨各团队培训课","3594167410","STM32H7系列教程（1）FDCAN配置成经典CAN模式使用",BV1YbY1e4Egm,5686,0,00:09,https://www.bilibili.com/video/BV1YbY1e4Egm
"2、汇丨各团队培训课","3594167410","【中科大RM电控合集】电控进阶导论",BV1CLBBBgEpi,4056,0,08:50,https://www.bilibili.com/video/BV1CLBBBgEpi
"2、汇丨各团队培训课","3594167410","北洋动力无人车第一次培训",BV1btmJBQEwq,261,0,37:29,https://www.bilibili.com/video/BV1btmJBQEwq
"2、汇丨各团队培训课","3594167410","无线电协会授课视频①",BV1ArmcBcEoY,72,0,06:34,https://www.bilibili.com/video/BV1ArmcBcEoY
"2、汇丨各团队培训课","3594167410","视觉组第二次培训 opencv初识",BV18YUCB8ED2,108,0,01:09:11,https://www.bilibili.com/video/BV18YUCB8ED2
"2、汇丨各团队培训课","3594167410","电控组第一次培训",BV1rJULBvEsS,130,0,25:05,https://www.bilibili.com/video/BV1rJULBvEsS
"2、汇丨各团队培训课","3594167410","视觉组第一次培训",BV1bAULBjEm3,84,0,35:14,https://www.bilibili.com/video/BV1bAULBjEm3
"2、汇丨各团队培训课","3594167410","Ubuntu系统 | Ros 2 使用",BV17esyzNERv,8115,4,57:34,https://www.bilibili.com/video/BV17esyzNERv
"2、汇丨各团队培训课","3594167410","RM2026-电控组-代码框架",BV1LBCuBhEie,4545,0,01:04:34,https://www.bilibili.com/video/BV1LBCuBhEie
"2、汇丨各团队培训课","3594167410","[算法组准教程]yolo + ultralytics 数据标注与模型训练工作流示例",BV1QzCABvEwn,1657,0,43:14,https://www.bilibili.com/video/BV1QzCABvEwn
"2、汇丨各团队培训课","3594167410","第六次线下课 --ROS第二课 广东工业大学DynamicX机器人队（26赛季）",BV1kY2FBXEvz,671,0,21:43,https://www.bilibili.com/video/BV1kY2FBXEvz
"2、汇丨各团队培训课","3594167410","Dynamicx机械组第三次培训",BV12is1zQEwL,696,0,43:19,https://www.bilibili.com/video/BV12is1zQEwL
"2、汇丨各团队培训课","3594167410","ROS图像-第二次分站赛-ROS编程教程",BV1gGy6BkEyw,389,0,10:24,https://www.bilibili.com/video/BV1gGy6BkEyw
"2、汇丨各团队培训课","3594167410","【电控培训】LQR控制数学讲解",BV1u4xPzrEWR,7242,2,23:31,https://www.bilibili.com/video/BV1u4xPzrEWR
"2、汇丨各团队培训课","3594167410","2025E唯协会电子部第一次培训 主讲人：王宇航",BV1jhW1zAEwT,636,0,20:47,https://www.bilibili.com/video/BV1jhW1zAEwT
"2、汇丨各团队培训课","3594167410","福建师范大学PKA战队2026赛季-机械组培训系列课",BV1LJnnzXEnY,4882,0,09:21:14,https://www.bilibili.com/video/BV1LJnnzXEnY
