收藏夹,FID,标题,BV号,播放量,弹幕,时长,链接
"2、汇丨实验室项目","3608268410","You Only Plan Once: A Learning-based One-stage Planner with Guidance Learning",BV15jo5YmETQ,2157,0,02:54,https://www.bilibili.com/video/BV15jo5YmETQ
"2、汇丨实验室项目","3608268410","[Science Robotics] 天天吹大气，实验室稳如老狗，实战狗且偷生，有本事放个野外视频啊！好的，来了老弟！",BV18W4y1F7Rd,5079,1,03:08,https://www.bilibili.com/video/BV18W4y1F7Rd
"2、汇丨实验室项目","3608268410","[Science Robotics] 轮足机器狗 Navigation and Locomotion #ScienceRobotics",BV11m421p7Yb,6193,1,02:52,https://www.bilibili.com/video/BV11m421p7Yb
"2、汇丨实验室项目","3608268410","2024 IROS QRC（四足机器人挑战赛）浙大机器人队自主导航运动",BV1muydYnE5D,5444,6,04:57,https://www.bilibili.com/video/BV1muydYnE5D
"2、汇丨实验室项目","3608268410","【ICRA2026】 MUJICA：能跳1M高台的轮足",BV1Dm5Y6JEFV,2.8万,34,02:02,https://www.bilibili.com/video/BV1Dm5Y6JEFV
"2、汇丨实验室项目","3608268410","1个策略通杀9地形+2步态！宇树Go2实测楼梯/深坑/斜坡",BV1Tttzz1EQX,1761,1,02:42,https://www.bilibili.com/video/BV1Tttzz1EQX
"2、汇丨实验室项目","3608268410","[RAL26] 基于自监督表示学习和强化学习的机器人未知环境自主导航算法",BV175ofBTEpa,2348,0,03:11,https://www.bilibili.com/video/BV175ofBTEpa
"2、汇丨实验室项目","3608268410","港大最新IJRR Memory-Efficient Boundary Map for Large-Scale Occupancy Grid Mapping",BV1sQPkzpEGk,7302,0,04:46,https://www.bilibili.com/video/BV1sQPkzpEGk
"2、汇丨实验室项目","3608268410","当重规划来不及时，四足机器人的“反射式避障”如何实现？",BV1y5rBBQEft,4247,0,03:00,https://www.bilibili.com/video/BV1y5rBBQEft
"2、汇丨实验室项目","3608268410","楼内大场景导航测试",BV1XtrTBrEcE,5877,0,04:21,https://www.bilibili.com/video/BV1XtrTBrEcE
"2、汇丨实验室项目","3608268410","通过分层适应复杂环境的鲁棒里程计 SLAM 定位导航",BV1RhBBBFEfB,754,0,03:20,https://www.bilibili.com/video/BV1RhBBBFEfB
"2、汇丨实验室项目","3608268410","【硬核开源】人形机器人野外狂奔2.5m/s！端到端视觉方案（附论文代码）",BV1ecr6BuEo1,1.2万,2,01:12,https://www.bilibili.com/video/BV1ecr6BuEo1
"2、汇丨实验室项目","3608268410","OP-Follower: 纯视觉纯机载四足机器人避障跟随(IBVS-NMPC)",BV1Z3rzBkEhB,3612,2,02:57,https://www.bilibili.com/video/BV1Z3rzBkEhB
"2、汇丨实验室项目","3608268410","EGO-Swarm: A Fully Autonomous and Decentralized Quadrotor Swarm System",BV1Nt4y1e7KD,1.1万,2,02:55,https://www.bilibili.com/video/BV1Nt4y1e7KD
"2、汇丨实验室项目","3608268410","Experiment record of the distributed pseudolinear information filtering approach",BV1cZS7B3EAh,832,0,05:58,https://www.bilibili.com/video/BV1cZS7B3EAh
"2、汇丨实验室项目","3608268410","[IJRR-2025]无人机集群相对定位3-D Multi-Robot Relative Localization",BV12Xn4zWEcM,1921,0,01:35,https://www.bilibili.com/video/BV12Xn4zWEcM
"2、汇丨实验室项目","3608268410","【TSMC2025 基于约束采样MPC的机器人无碰撞操作】仿真视频",BV1GQndzmEiU,1785,0,02:35,https://www.bilibili.com/video/BV1GQndzmEiU
"2、汇丨实验室项目","3608268410","从牛顿迭代到L-BFGS优化",BV145J1zuEPN,5100,0,08:21,https://www.bilibili.com/video/BV145J1zuEPN
"2、汇丨实验室项目","3608268410","JuggleRL: Mastering Ball Juggling with a Quadrotor via Deep Reinforcement Learni",BV1hKxDzrEw5,2551,0,08:33,https://www.bilibili.com/video/BV1hKxDzrEw5
"2、汇丨实验室项目","3608268410","拒止环境下基于集群共识的视觉引导协同搜索方案_视频",BV1BexrzhEgs,390,0,01:55,https://www.bilibili.com/video/BV1BexrzhEgs
"2、汇丨实验室项目","3608268410","开源：EGVG，基于维诺图的未知环境导航算法",BV1zCWYzvE4W,2142,0,05:36,https://www.bilibili.com/video/BV1zCWYzvE4W
"2、汇丨实验室项目","3608268410","IROS Whole-body Motion Planning for Mobile Manipulator",BV1denbz5Euy,930,0,01:57,https://www.bilibili.com/video/BV1denbz5Euy
"2、汇丨实验室项目","3608268410","Obstacle-Avoidant Leader Following with a Quadruped Robot",BV1MKjezNECf,1349,0,03:01,https://www.bilibili.com/video/BV1MKjezNECf
"2、汇丨实验室项目","3608268410","FLARE: Fast Large-scale Autonomous Exploration Guided by Unknown Regions",BV1nUHPzQEgT,2229,0,03:35,https://www.bilibili.com/video/BV1nUHPzQEgT
