收藏夹,FID,标题,BV号,播放量,弹幕,时长,链接
"1、进丨课程","3650644310","【斯坦福CS221】人工智能原理与技术(Autumn 2019-2020)  中英字幕",BV1K7411T7bB,4643,33,13:34:33,https://www.bilibili.com/video/BV1K7411T7bB
"1、进丨课程","3650644310","【特伦托大学】机器人控制中的优化与机器学习【全28讲已完结，2025版-双语字幕】",BV1PE6CBhEcZ,2128,1,38:29:02,https://www.bilibili.com/video/BV1PE6CBhEcZ
"1、进丨课程","3650644310","【麻省理工学院】欠驱动机器人【共24讲已完结，2024版-双语字幕】",BV1FKrjBUEY4,1515,1,31:40:03,https://www.bilibili.com/video/BV1FKrjBUEY4
"1、进丨课程","3650644310","【麻省理工学院】机器人操作【全24讲已完结，2024版-双语字幕】",BV1Y4i9BcEAr,2815,1,29:35:10,https://www.bilibili.com/video/BV1Y4i9BcEAr
"1、进丨课程","3650644310","【精品课程】芯片设计从RTL到GDS 第37课 集成电路布局&随机布局和&模拟退火",BV1KHvUBKEqa,1968,0,14:16,https://www.bilibili.com/video/BV1KHvUBKEqa
"1、进丨课程","3650644310","强化学习+机器人运动控制入门 chapter9 (Observation篇-1)",BV1LFiRBBEZB,7449,3,24:52,https://www.bilibili.com/video/BV1LFiRBBEZB
"1、进丨课程","3650644310","【台湾师范大学】机器人同步定位与地图构建(SLAM)【共13讲已完结，2023版-双语字幕】",BV1Nt6SBUEsm,2722,2,15:57:06,https://www.bilibili.com/video/BV1Nt6SBUEsm
"1、进丨课程","3650644310","【麻省理工学院】机器人前沿课【全14讲已完结，2024版-双语字幕】",BV1MTScB3Eyz,2444,1,14:04:26,https://www.bilibili.com/video/BV1MTScB3Eyz
"1、进丨课程","3650644310","苏黎世联邦理工【中英⚡控制系统I |2017 Control Systems】",BV17YkyBoEE3,1.1万,0,20:02:48,https://www.bilibili.com/video/BV17YkyBoEE3
"1、进丨课程","3650644310","NASA公开课：凸优化如何实现飞行器精准制导【中英双语】",BV1RosFz6E8J,3795,0,01:04:52,https://www.bilibili.com/video/BV1RosFz6E8J
