收藏夹,FID,标题,BV号,播放量,弹幕,时长,链接
"2、汇丨各类课程","3197396810","【C语言】《带你学C带你飞》",BV17s411N78s,878.7万,13.0万,17:44:08,https://www.bilibili.com/video/BV17s411N78s
"2、汇丨各类课程","3197396810","李宏毅大神用2小时带你彻底搞懂Diffusion Model扩散模型的底层概念与原理！！！-深度学习/神经网络/生成模型",BV1V7Y4zaEhj,6042,44,01:57:38,https://www.bilibili.com/video/BV1V7Y4zaEhj
"2、汇丨各类课程","3197396810","2025年麻省理工 6.S184流匹配与扩散模型：具有随机微分方程的生成式AI ！ 人工智能/SDE/生成机器人/双语字幕",BV1ZQhqzcEa6,542,11,07:04:14,https://www.bilibili.com/video/BV1ZQhqzcEa6
"2、汇丨各类课程","3197396810","【普林斯顿】油管大佬爆肝强化学习理论基础ECE524本科研究生课程， 机器人手臂/人工智能/生成模型/多智能体强化学习/函数近似",BV1xUbJzpEar,715,15,28:42:41,https://www.bilibili.com/video/BV1xUbJzpEar
"2、汇丨各类课程","3197396810","【搬运】Dimitri P. Bertsekas | 2022版《强化学习与最优控制》公开课 | 全集 | 中英字幕",BV1KF411F7jx,6693,2,27:02:45,https://www.bilibili.com/video/BV1KF411F7jx
"2、汇丨各类课程","3197396810","【搬运】Steve Brunton | Control Bootcamp | 全集字幕版",BV1ab4y1b7fs,1.9万,35,08:43:59,https://www.bilibili.com/video/BV1ab4y1b7fs
"2、汇丨各类课程","3197396810","【中英字幕】Brian Douglas Control Theroy | 自动控制原理",BV1WT4y1M7rm,8.2万,128,07:49:10,https://www.bilibili.com/video/BV1WT4y1M7rm
"2、汇丨各类课程","3197396810","【控制理论】Control Theory【中英双字】已完结",BV11K4y1K7v1,6.2万,60,27:17:05,https://www.bilibili.com/video/BV11K4y1K7v1
"2、汇丨各类课程","3197396810","《ROS 2机器人开发从入门到实践》课程介绍",BV1GW42197Ck,21.9万,32,06:48,https://www.bilibili.com/video/BV1GW42197Ck
"2、汇丨各类课程","3197396810","【台湾清华大学×BoLedu】SoC系统级芯片设计实验 (2023秋 赖瑾)",BV1sz4y1F7oU,4.7万,23,20:30:22,https://www.bilibili.com/video/BV1sz4y1F7oU
"2、汇丨各类课程","3197396810","(完)自主移动机器人--浙大",BV1dE411X7sd,3.4万,51,06:13:40,https://www.bilibili.com/video/BV1dE411X7sd
"2、汇丨各类课程","3197396810","[原创] 深入理解计算机系统 - CSAPP重点导读（更新完毕）",BV1RK4y1R7Kf,32.7万,421,06:45:40,https://www.bilibili.com/video/BV1RK4y1R7Kf
"2、汇丨各类课程","3197396810","《清华高翔博士-视觉SLAM14讲》简直不要太强！",BV1LZoNYZEfW,4427,35,15:21:40,https://www.bilibili.com/video/BV1LZoNYZEfW
"2、汇丨各类课程","3197396810","空气动力学基础(双语) 可视化详解学习！| 第一章 | 50分钟学习 空气动力学引述",BV1Ez4y1v7EF,14.0万,220,50:59,https://www.bilibili.com/video/BV1Ez4y1v7EF
"2、汇丨各类课程","3197396810","北京航空航天大学 飞行学院 2021秋 飞行原理【建议移步至新版课程】",BV1S3411x7r5,18.2万,423,33:22:43,https://www.bilibili.com/video/BV1S3411x7r5
"2、汇丨各类课程","3197396810","已失效视频",BV19o4y1P7h3,,,,https://www.bilibili.com/video/BV19o4y1P7h3
"2、汇丨各类课程","3197396810","【南京航空航天大学】无人机设计导论（全46讲）昂海松",BV14mp7e5Eht,5.2万,53,07:12:47,https://www.bilibili.com/video/BV14mp7e5Eht
"2、汇丨各类课程","3197396810","【PX4飞控原理】01_系统框架",BV1mBMgz1ED8,2.1万,9,17:10,https://www.bilibili.com/video/BV1mBMgz1ED8
