收藏夹,FID,标题,BV号,播放量,弹幕,时长,链接
"2、汇丨项目教程","3668753010","终于来了，机器人学习路线经验分享！华理学长毫无保留分享~",BV1eg411z7jM,10.9万,191,20:09,https://www.bilibili.com/video/BV1eg411z7jM
"2、汇丨项目教程","3668753010","【黑铁Ⅱ百科001】零基础Blender2.9-3.0黑铁骑士Ⅱ开源百科全书教程-安装与优化设置(不敷衍+普通话+字幕+案例+任务辅助系统+全参数逐一示范解析)",BV1pV41127Dq,79.0万,481,10:30,https://www.bilibili.com/video/BV1pV41127Dq
"2、汇丨项目教程","3668753010","【自动建模】Blender 2.9 3D扫描重建技术全解析(meshroom+instant meshes+materialize三大辣椒中文分支全流程实战)",BV1yC4y1t7Fq,10.6万,365,44:15,https://www.bilibili.com/video/BV1yC4y1t7Fq
"2、汇丨项目教程","3668753010","自制连杆式6轴动态平台 pt.2",BV1uE4m1d7ih,2.3万,273,08:36,https://www.bilibili.com/video/BV1uE4m1d7ih
"2、汇丨项目教程","3668753010","利用Cadence Virtuoso对放大器（模拟电路）版图绘制的全流程演示（含DRC，LVS纠错过程）",BV1r24y1f7kP,24.7万,271,01:04:04,https://www.bilibili.com/video/BV1r24y1f7kP
"2、汇丨项目教程","3668753010","如何在FTC中设计可靠的机器人 | 17962 Ro2D2 | 世界亚军",BV1gaHTeDE9C,2369,6,18:16,https://www.bilibili.com/video/BV1gaHTeDE9C
"2、汇丨项目教程","3668753010","Arduino控制的机械臂 - 保存/回放/导出/导入动作",BV1fy411i7ua,8155,1,10:34,https://www.bilibili.com/video/BV1fy411i7ua
"2、汇丨项目教程","3668753010","【Knight教程】全网最详细CNC雕刻机教程-机械结构",BV1CS4y1t75y,26.3万,289,09:56,https://www.bilibili.com/video/BV1CS4y1t75y
"2、汇丨项目教程","3668753010","写字机器人保姆级教程",BV1u5411e7GS,10.5万,135,49:10,https://www.bilibili.com/video/BV1u5411e7GS
"2、汇丨项目教程","3668753010","电子DIY零基础入门：不用焊接、编程也能做项目！",BV1dXt7eBET2,3.4万,77,08:46,https://www.bilibili.com/video/BV1dXt7eBET2
"2、汇丨项目教程","3668753010","[开源自制]手搓UR机械臂,结构+软硬件",BV1CdsueXEWk,2.5万,4,09:43,https://www.bilibili.com/video/BV1CdsueXEWk
"2、汇丨项目教程","3668753010","【全系列】 14个电子专业必做的优秀实战项目 合集",BV1rV411a7ms,8.4万,48,05:01:58,https://www.bilibili.com/video/BV1rV411a7ms
"2、汇丨项目教程","3668753010","轮腿机器人但是毕业设计",BV1Wk4y1p7Ak,2.0万,10,13:32,https://www.bilibili.com/video/BV1Wk4y1p7Ak
"2、汇丨项目教程","3668753010","【自制】论文实验｜项目验收｜仿真竞赛｜算法验证不可或缺的无人机仿真平台",BV1D24vekEPE,8403,8,02:04,https://www.bilibili.com/video/BV1D24vekEPE
"2、汇丨项目教程","3668753010","第二期：带你从零开始搭建一架四旋翼飞行器",BV1CUmKYnEHB,5.1万,115,07:44,https://www.bilibili.com/video/BV1CUmKYnEHB
"2、汇丨项目教程","3668753010","这绝对是B站最用心最全面的电机知识，从入门到精通，全程干货无废话，手把手得教，这还学不会我真退出电机圈！！！",BV1SVHQerEB6,2416,0,01:17:37,https://www.bilibili.com/video/BV1SVHQerEB6
"2、汇丨项目教程","3668753010","自制F4飞控",BV16A2qYbEQH,2.6万,4,21:22,https://www.bilibili.com/video/BV16A2qYbEQH
"2、汇丨项目教程","3668753010","学习PCB设计前的知识扫盲，新手向，越新手越好！",BV1GU4y1N7Z6,65.8万,1360,23:21,https://www.bilibili.com/video/BV1GU4y1N7Z6
"2、汇丨项目教程","3668753010","开源6自由度机械臂",BV1YKsBeSE6X,14.1万,16,07:53:41,https://www.bilibili.com/video/BV1YKsBeSE6X
"2、汇丨项目教程","3668753010","【keysking】第0集 超易懂的STM32教程！！",BV12v4y1y7uV,114.7万,553,08:20,https://www.bilibili.com/video/BV12v4y1y7uV
"2、汇丨项目教程","3668753010","【开源】自制热成像相机",BV1e4xeeCEGL,42.5万,168,04:34,https://www.bilibili.com/video/BV1e4xeeCEGL
"2、汇丨项目教程","3668753010","首发——如何做轮腿机器人仿真（第一期）",BV1AS42197jb,1.6万,12,55:02,https://www.bilibili.com/video/BV1AS42197jb
"2、汇丨项目教程","3668753010","【开源啦！】无刷轮腿平衡机器人",BV1bP411k75b,33.8万,78,04:01,https://www.bilibili.com/video/BV1bP411k75b
"2、汇丨项目教程","3668753010","【毕业设计开源】机器人全栈开发，四足机器人系统设计【优秀毕设】",BV1WCCRY5Egh,1.1万,10,26:43,https://www.bilibili.com/video/BV1WCCRY5Egh
"2、汇丨项目教程","3668753010","【自制】我造了一台钢铁侠的迷你机械臂 ！【硬核】",BV12341117rG,762.6万,2.4万,17:13,https://www.bilibili.com/video/BV12341117rG
"2、汇丨项目教程","3668753010","【单片机】基于STM32F4的摄像头识别系统+自动跟踪",BV1Ya4y1771B,3.3万,7,01:18,https://www.bilibili.com/video/BV1Ya4y1771B
